task,subjID,display,trial,fribblePresented,resp,labelPresented,frequency,rt,trialType,list,expeType
contingency,3430836,task,32,11325,-51,tob,l,3313.58,mismatch-type1,1,pilot1
contingency,3430836,task,33,30825,-100,tob,l,5435.135,match,1,pilot1
contingency,3430836,task,34,12875,-100,wug,h,5301.72,mismatch-type1,1,pilot1
contingency,3430836,task,35,32775,-100,dep,h,3404.575,mismatch-type1,1,pilot1
contingency,3430836,task,36,23175,-100,tob,h,3276.515,mismatch-type1,1,pilot1
contingency,3430836,task,37,20425,44,wug,l,5152.89,match,1,pilot1
contingency,3430836,task,38,20925,54,wug,l,3439.735,match,1,pilot1
contingency,3430836,task,39,31475,100,tob,h,3129.81,match,1,pilot1
contingency,3430836,task,40,12325,-63,tob,l,3892.25,mismatch-type1,1,pilot1
contingency,3430836,task,41,32025,-70,wug,l,4208.74,mismatch-type1,1,pilot1
contingency,3430836,task,42,12225,49,dep,l,3709.765,match,1,pilot1
contingency,3430836,task,43,12125,47,dep,l,3197.125,match,1,pilot1
contingency,3430836,task,44,22375,100,wug,h,4991.65,match,1,pilot1
contingency,3430836,task,45,31575,100,tob,h,2781.795,match,1,pilot1
contingency,3430836,task,46,10975,100,dep,h,2816.17,match,1,pilot1
contingency,3430836,task,47,32275,100,tob,h,2880.015,match,1,pilot1
contingency,3430836,task,48,10675,-99,wug,h,4223.07,mismatch-type1,1,pilot1
contingency,3430836,task,49,32525,54,wug,l,5126.555,mismatch-type1,1,pilot1
contingency,3430836,task,50,21025,27,wug,l,5338.185,match,1,pilot1
contingency,3430836,task,51,10925,-47,tob,l,4124.915,mismatch-type1,1,pilot1
contingency,3430836,task,52,33075,-72,dep,h,3891.305,mismatch-type1,1,pilot1
contingency,3430836,task,53,10625,54,dep,l,4432.73,match,1,pilot1
contingency,3430836,task,54,32225,-86,tob,l,6152.13,match,1,pilot1
contingency,3430836,task,55,22225,-37,dep,l,6573.99,mismatch-type1,1,pilot1
contingency,3430836,task,56,11975,-100,wug,h,3350.015,mismatch-type1,1,pilot1
contingency,3430836,task,57,30275,100,tob,h,2926.48,match,1,pilot1
contingency,3430836,task,58,22175,-100,tob,h,4804.48,mismatch-type1,1,pilot1
contingency,3430836,task,59,31725,43,tob,l,7638.15,match,1,pilot1
contingency,3430836,task,60,20575,-100,tob,h,4281.45,mismatch-type1,1,pilot1
contingency,3424063,task,1,20375,100,wug,h,4173,match,1,pilot1
contingency,3424063,task,2,11025,100,dep,l,2647,match,1,pilot1
contingency,3424063,task,3,21125,-100,dep,l,2695,mismatch-type1,1,pilot1
contingency,3424063,task,4,22475,100,wug,h,2208,match,1,pilot1
contingency,3424063,task,5,13375,100,dep,h,4431,match,1,pilot1
contingency,3424063,task,6,21675,-98,tob,h,3933,mismatch-type1,1,pilot1
contingency,3424063,task,7,31525,-99,wug,l,3276,mismatch-type1,1,pilot1
contingency,3424063,task,8,30875,99,tob,h,3082,match,1,pilot1
contingency,3424063,task,9,11725,99,dep,l,2845,match,1,pilot1
