subjID frequency learning testing trialType acc
6 l sx sx exp 0
6 l sx sx exp 0
6 l sx sx exp 0
6 l sx sx exp 0
6 l sx sx exp 0
6 l sx sx exp 1
6 l sx sx exp 1
6 l sx sx exp 0
6 l sx sx exp 0
6 l sx sx exp 0
6 l sx sx exp 0
6 l sx sx exp 0
6 l sx sx exp 0
6 l sx sx exp 0
6 l sx sx exp 0
6 l sx sx exp 0
6 l sx sx exp 0
6 l sx sx exp 0
6 l sx sx exp 0
6 l sx sx exp 0
6 l sx sx exp 0
5 h sx sx control 1
5 h sx sx control 1
5 h sx sx control 1
5 h sx sx control 1
5 h sx sx control 1
5 h sx sx control 0
5 h sx sx control 1
5 h sx sx control 1
5 h sx sx exp 0
5 h sx sx exp 0
5 h sx sx exp 0
5 h sx sx exp 0
5 h sx sx exp 0
5 h sx sx exp 0
5 h sx sx exp 1
5 h sx sx exp 0
5 h sx sx exp 0
5 h sx sx exp 1
5 h sx sx exp 1
5 h sx sx exp 1
5 h sx sx exp 1
5 h sx sx exp 1
5 h sx sx exp 1
5 h sx sx exp 1
5 h sx sx exp 1
5 h sx sx exp 1
5 h sx sx exp 1
5 h sx sx exp 1
5 h sx sx exp 1
5 h sx sx exp 1
5 h sx sx exp 1
5 h sx sx exp 0
5 l sx sx exp 0
5 l sx sx exp 0
5 l sx sx exp 0
5 l sx sx exp 0
5 l sx sx exp 0
5 l sx sx exp 0
5 l sx sx exp 0
5 l sx sx exp 0
5 l sx sx exp 0
5 l sx sx exp 0
5 l sx sx exp 0
5 l sx sx exp 0
5 l sx sx exp 0
5 l sx sx exp 0
5 l sx sx exp 0
5 l sx sx exp 0
5 l sx sx exp 1
5 l sx sx exp 1
5 l sx sx exp 0
5 l sx sx exp 0
5 l sx sx exp 0
5 l sx sx exp 0
5 l sx sx exp 1
5 l sx sx exp 1
4 h sx sx control 1
4 h sx sx control 1
4 h sx sx control 1
4 h sx sx control 1
4 h sx sx control 1
4 h sx sx control 1
4 h sx sx control 1
4 h sx sx control 1
4 h sx sx exp 0
4 h sx sx exp 1
4 h sx sx exp 1
4 h sx sx exp 1
4 h sx sx exp 1
4 h sx sx exp 1
4 h sx sx exp 1
4 h sx sx exp 1
4 h sx sx exp 0
4 h sx sx exp 1
4 h sx sx exp 0
4 h sx sx exp 0
4 h sx sx exp 1
4 h sx sx exp 1
4 h sx sx exp 1
4 h sx sx exp 0
4 h sx sx exp 0
4 h sx sx exp 0
4 h sx sx exp 1
4 h sx sx exp 0
4 h sx sx exp 0
4 h sx sx exp 0
4 h sx sx exp 0
4 h sx sx exp 0
4 l sx sx exp 0
4 l sx sx exp 0
4 l sx sx exp 0
4 l sx sx exp 1
4 l sx sx exp 1
4 l sx sx exp 1
4 l sx sx exp 1
4 l sx sx exp 1
4 l sx sx exp 0
4 l sx sx exp 0
4 l sx sx exp 0
4 l sx sx exp 0
4 l sx sx exp 0
4 l sx sx exp 0
4 l sx sx exp 0
4 l sx sx exp 0
4 l sx sx exp 1
4 l sx sx exp 0
4 l sx sx exp 1
4 l sx sx exp 1
4 l sx sx exp 0
4 l sx sx exp 0
4 l sx sx exp 0
4 l sx sx exp 0
3 h sx sx control 1
3 h sx sx control 1
3 h sx sx control 1
3 h sx sx control 1
3 h sx sx control 1
3 h sx sx control 1
3 h sx sx control 1
3 h sx sx control 1
3 h sx sx exp 1
3 h sx sx exp 1
3 h sx sx exp 1
3 h sx sx exp 1
3 h sx sx exp 1
3 h sx sx exp 1
3 h sx sx exp 1
3 h sx sx exp 1
3 h sx sx exp 1
3 h sx sx exp 0
3 h sx sx exp 1
3 h sx sx exp 1
3 h sx sx exp 1
3 h sx sx exp 1
3 h sx sx exp 1
3 h sx sx exp 1
3 h sx sx exp 1
3 h sx sx exp 1
3 h sx sx exp 1
3 h sx sx exp 1
3 h sx sx exp 1
3 h sx sx exp 1
3 h sx sx exp 1
3 h sx sx exp 1
3 l sx sx exp 0
3 l sx sx exp 1
3 l sx sx exp 0
3 l sx sx exp 1
3 l sx sx exp 0
3 l sx sx exp 1
3 l sx sx exp 1
3 l sx sx exp 0
3 l sx sx exp 1
3 l sx sx exp 0
3 l sx sx exp 1
3 l sx sx exp 0
3 l sx sx exp 0
3 l sx sx exp 0
3 l sx sx exp 1
3 l sx sx exp 0
3 l sx sx exp 1
3 l sx sx exp 1
3 l sx sx exp 0
3 l sx sx exp 1
3 l sx sx exp 0
3 l sx sx exp 1
3 l sx sx exp 0
3 l sx sx exp 1
2 h sx sx control 1
2 h sx sx control 1
2 h sx sx control 1
2 h sx sx control 1
2 h sx sx control 1
2 h sx sx control 1
2 h sx sx control 1
2 h sx sx control 1
2 h sx sx exp 0
2 h sx sx exp 1
2 h sx sx exp 1
2 h sx sx exp 0
2 h sx sx exp 1
2 h sx sx exp 1
2 h sx sx exp 1
2 h sx sx exp 1
2 h sx sx exp 1
2 h sx sx exp 0
2 h sx sx exp 1
2 h sx sx exp 1
2 h sx sx exp 1
2 h sx sx exp 1
2 h sx sx exp 1
2 h sx sx exp 1
2 h sx sx exp 1
2 h sx sx exp 1
2 h sx sx exp 0
2 h sx sx exp 1
2 h sx sx exp 1
2 h sx sx exp 1
2 h sx sx exp 1
