fribbleID,subjID,learning,task,label,rt,resp,plugin,trialIndex,acc,fribbleFeatures,correctCategory,correctFrequency,correctLabel,body,trialType
1,1851422,FL,pictureLabels,tobdepwugbim,1669.58500002511,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1828951,LF,pictureLabels,tobdepwugbim,2573.66999983788,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1846243,LF,pictureLabels,tobdepwugbim,1488.89500000048,wug,image-button-response,486,0,10375,3,high,dep,blue,exp
1,1827017,FL,pictureLabels,tobdepwugbim,3106.39999998966,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1845206,FL,pictureLabels,tobdepwugbim,2865,wug,image-button-response,486,0,10375,3,high,dep,blue,exp
1,1802988,LF,pictureLabels,tobdepwugbim,1564.78999997489,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1846372,FL,pictureLabels,tobdepwugbim,3441.5000000007,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1802092,LF,pictureLabels,tobdepwugbim,983,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1803481,FL,pictureLabels,tobdepwugbim,1155.17499999987,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1802124,FL,pictureLabels,tobdepwugbim,3245.83999998868,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1827397,LF,pictureLabels,tobdepwugbim,NA,NA,image-button-response,486,NA,10375,3,high,dep,blue,exp
1,1845203,LF,pictureLabels,tobdepwugbim,2409.58000003593,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1826951,FL,pictureLabels,tobdepwugbim,NA,NA,image-button-response,486,NA,10375,3,high,dep,blue,exp
1,1802109,FL,pictureLabels,tobdepwugbim,2474.0949999541,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1802089,LF,pictureLabels,tobdepwugbim,1691.31999998353,wug,image-button-response,486,0,10375,3,high,dep,blue,exp
1,1803470,LF,pictureLabels,tobdepwugbim,1186.09000000288,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1800332,LF,pictureLabels,tobdepwugbim,3001.25000000116,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1803476,FL,pictureLabels,tobdepwugbim,2429.97000000102,tob,image-button-response,486,0,10375,3,high,dep,blue,exp
1,1802990,FL,pictureLabels,tobdepwugbim,3146.79999999498,tob,image-button-response,486,0,10375,3,high,dep,blue,exp
1,1827042,LF,pictureLabels,tobdepwugbim,2282.03000000212,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1839495,LF,pictureLabels,tobdepwugbim,2151.06000000011,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1826943,FL,pictureLabels,tobdepwugbim,1738.51000005379,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1846363,FL,pictureLabels,tobdepwugbim,2327.33499999449,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1802091,LF,pictureLabels,tobdepwugbim,1939.46000000049,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
1,1825241,LF,pictureLabels,tobdepwugbim,3347.36000001431,dep,image-button-response,486,1,10375,3,high,dep,blue,exp
