,Estimate,Std. Error,z value,Pr(>|z|),n,BF,is_sing,conv_error,loopNumber
correctFrequencyhigh:learning.ct452,1.5356,2.2195,0.6918,0.489,99,1.167484872,N,N,43
correctFrequencylow:learning.ct452,1.4238,1.1743,1.2124,0.2254,99,1.641619129,N,N,43
(Intercept)552,1.0041,0.3996,2.5124,0.012,79,NA,N,N,43
correctFrequency.ct552,-4.0252,0.5978,-6.7331,0,79,383974874.9,N,N,43
learning.ct552,-1.0772,0.7588,-1.4196,0.1557,79,0.410526613,N,N,43
correctFrequency.ct:learning.ct552,3.0788,1.0955,2.8106,0.0049,79,9.026879735,N,N,43
correctFrequencyhigh:learning.ct552,-0.3269,0.948,-0.3448,0.7302,79,0.512702677,N,N,43
correctFrequencylow:learning.ct552,-0.1228,0.7458,-0.1647,0.8692,79,0.480786942,N,N,43
(Intercept)652,0.0864,0.2247,0.3847,0.7004,59,NA,N,N,43
correctFrequency.ct652,-3.7375,0.5208,-7.1772,0,59,9829456448,N,N,43
learning.ct652,0.9578,0.4372,2.1907,0.0285,59,5.646960105,N,N,43
correctFrequency.ct:learning.ct652,-3.1224,1.0226,-3.0534,0.0023,59,0.22446988,N,N,43
correctFrequencyhigh:learning.ct652,-2.6166,1.2003,-2.18,0.0293,59,0.291307614,N,N,43
correctFrequencylow:learning.ct652,0.4623,0.5568,0.8303,0.4064,59,0.875564462,N,N,43
(Intercept)752,1.0953,0.4734,2.3139,0.0207,39,NA,N,N,43
correctFrequency.ct752,-5.6812,0.7937,-7.1581,0,39,1155375987,N,N,43
learning.ct752,-1.2963,0.8104,-1.5995,0.1097,39,0.40469456,N,N,43
correctFrequency.ct:learning.ct752,-1.5761,1.2704,-1.2406,0.2147,39,0.459175294,N,N,43
correctFrequencyhigh:learning.ct752,2.519,0.796,3.1644,0.0016,39,34.70726235,N,N,43
correctFrequencylow:learning.ct752,-0.6034,0.5209,-1.1584,0.2467,39,0.206409283,N,N,43
(Intercept)852,0.3863,0.2655,1.455,0.1457,19,NA,N,N,43
correctFrequency.ct852,-3.6662,0.6385,-5.7418,0,19,1324611.615,N,N,43
learning.ct852,0.6377,0.5207,1.2248,0.2207,19,1.63472429,N,N,43
correctFrequency.ct:learning.ct852,0.8019,1.2617,0.6356,0.525,19,1.10185745,N,N,43
correctFrequencyhigh:learning.ct852,-0.5082,1.0799,-0.4707,0.6379,19,0.523306752,N,N,43
correctFrequencylow:learning.ct852,-2.0843,0.9769,-2.1337,0.0329,19,0.24831877,N,N,43
153,NA,NA,NA,NA,NA,NA,NA,NA,44
(Intercept)175,1.1604,0.3878,2.9924,0.0028,179,NA,N,N,44
correctFrequency.ct175,-4.5418,0.741,-6.1291,0,179,5739045.56,N,N,44
learning.ct175,-0.1161,0.7133,-0.1627,0.8707,179,0.674143943,N,N,44
correctFrequency.ct:learning.ct175,0.1001,1.3516,0.0741,0.941,179,0.825029715,N,N,44
correctFrequencyhigh:learning.ct175,0.2367,0.8598,0.2753,0.7831,179,0.710519062,N,N,44
correctFrequencylow:learning.ct175,1.0387,0.7739,1.3422,0.1795,179,1.788005719,N,N,44
(Intercept)176,0.9029,0.5038,1.7921,0.0731,159,NA,N,N,44
correctFrequency.ct176,-3.2121,0.5755,-5.5816,0,159,753355.6302,N,N,44
learning.ct176,-1.427,0.9815,-1.454,0.146,159,0.482159164,N,N,44
correctFrequency.ct:learning.ct176,0.5512,1.0509,0.5245,0.6,159,0.982858219,N,N,44
correctFrequencyhigh:learning.ct176,-0.1661,1.0225,-0.1625,0.8709,159,0.596159053,N,N,44
correctFrequencylow:learning.ct176,-0.066,0.9411,-0.0702,0.9441,159,0.597958278,N,N,44
(Intercept)255,0.0591,0.2483,0.2381,0.8118,139,NA,N,N,44
correctFrequency.ct255,-3.6918,0.5428,-6.8014,0,139,795605913.1,N,N,44
learning.ct255,1.1629,0.4827,2.409,0.016,139,7.60483465,N,N,44
correctFrequency.ct:learning.ct255,1.5741,1.0661,1.4766,0.1398,139,2.061217005,N,N,44
correctFrequencyhigh:learning.ct255,-1.7026,1.1504,-1.48,0.1389,139,0.355334924,N,N,44
correctFrequencylow:learning.ct255,-1.1514,1.0746,-1.0715,0.2839,139,0.395835173,N,N,44
(Intercept)353,-0.263,0.2289,-1.1494,0.2504,119,NA,N,N,44
correctFrequency.ct353,-4.0904,0.742,-5.5124,0,119,279900.6095,N,N,44
learning.ct353,-0.1526,0.431,-0.3541,0.7233,119,0.439266831,N,N,44
correctFrequency.ct:learning.ct353,1.1086,1.4596,0.7595,0.4475,119,1.203316098,N,N,44
correctFrequencyhigh:learning.ct353,0.3759,0.8236,0.4564,0.6481,119,0.793396111,N,N,44
correctFrequencylow:learning.ct353,1.95,0.5966,3.2684,0.0011,119,63.29007945,N,N,44
(Intercept)453,0.9852,0.3843,2.564,0.0103,99,NA,N,N,44
correctFrequency.ct453,-4.2323,0.6115,-6.9214,0,99,1100687185,N,N,44
learning.ct453,0.6217,0.7171,0.8669,0.386,99,1.260826744,N,N,44
correctFrequency.ct:learning.ct453,-1.4056,1.1008,-1.2769,0.2016,99,0.41033703,N,N,44
correctFrequencyhigh:learning.ct453,-0.7069,0.9053,-0.7809,0.4349,99,0.396175716,N,N,44
correctFrequencylow:learning.ct453,0.4017,0.7857,0.5113,0.6092,99,0.807107571,N,N,44
(Intercept)553,0.7819,0.2863,2.7316,0.0063,79,NA,N,N,44
correctFrequency.ct553,-3.7966,0.7045,-5.3892,0,79,184933.1327,N,N,44
learning.ct553,-0.5134,0.5478,-0.9373,0.3486,79,0.391207474,N,N,44
correctFrequency.ct:learning.ct553,-0.246,1.3743,-0.179,0.8579,79,0.736547844,N,N,44
correctFrequencyhigh:learning.ct553,1.3245,1.0612,1.2481,0.212,79,1.692284367,N,N,44
correctFrequencylow:learning.ct553,-0.0812,0.713,-0.1138,0.9094,79,0.480311226,N,N,44
(Intercept)653,1.336,0.3833,3.4852,5.00E-04,59,NA,N,N,44
correctFrequency.ct653,-3.69,0.8275,-4.4592,0,59,2715.239707,N,N,44
learning.ct653,-0.4071,0.7037,-0.5785,0.5629,59,0.546983103,N,N,44
correctFrequency.ct:learning.ct653,-0.6973,1.5408,-0.4526,0.6509,59,0.688295937,N,N,44
correctFrequencyhigh:learning.ct653,-0.3904,1.1379,-0.3431,0.7315,59,0.576891364,N,N,44
correctFrequencylow:learning.ct653,-0.6364,0.4989,-1.2757,0.202,59,0.188021807,N,N,44
(Intercept)753,1.1398,0.4349,2.6206,0.0088,39,NA,N,N,44
correctFrequency.ct753,-4.6919,0.8938,-5.2493,0,39,45451.613,N,N,44
learning.ct753,0.0484,0.7691,0.0629,0.9499,39,0.784775816,N,N,44
correctFrequency.ct:learning.ct753,-1.6733,1.5888,-1.0532,0.2922,39,0.561207125,N,N,44
correctFrequencyhigh:learning.ct753,-0.0585,1.2327,-0.0474,0.9622,39,0.704437083,N,N,44
correctFrequencylow:learning.ct753,-0.7558,0.8112,-0.9317,0.3515,39,0.338018802,N,N,44
(Intercept)853,0.4956,0.2487,1.9931,0.0463,19,NA,N,N,44
correctFrequency.ct853,-3.1198,0.4884,-6.3881,0,19,84703762.71,N,N,44
learning.ct853,-0.7973,0.487,-1.6373,0.1016,19,0.266894632,N,N,44
correctFrequency.ct:learning.ct853,0.6846,0.9574,0.7151,0.4746,19,1.092727901,N,N,44
correctFrequencyhigh:learning.ct853,0.885,1.3926,0.6355,0.5251,19,1.094578315,N,N,44
correctFrequencylow:learning.ct853,-0.7883,0.7125,-1.1063,0.2686,19,0.279549278,N,N,44
154,NA,NA,NA,NA,NA,NA,NA,NA,45
(Intercept)177,1.5248,0.4426,3.4452,6.00E-04,179,NA,N,N,45
correctFrequency.ct177,-5.2183,0.8911,-5.8559,0,179,646020.0234,N,N,45
learning.ct177,0.8623,0.6942,1.2423,0.2141,179,1.679429401,N,N,45
correctFrequency.ct:learning.ct177,-2.5463,1.4042,-1.8134,0.0698,179,0.407471157,N,N,45
correctFrequencyhigh:learning.ct177,-1.1396,0.7583,-1.5029,0.1329,179,0.24931245,N,N,45
correctFrequencylow:learning.ct177,-0.455,0.5981,-0.7608,0.4468,179,0.284533048,N,N,45
(Intercept)178,1.0143,0.3443,2.9458,0.0032,159,NA,N,N,45
correctFrequency.ct178,-3.9764,0.7445,-5.3411,0,159,126715.8455,N,N,45
learning.ct178,0.472,0.6285,0.751,0.4527,159,1.129836819,N,N,45
correctFrequency.ct:learning.ct178,-0.0442,1.3779,-0.0321,0.9744,159,0.789247449,N,N,45
correctFrequencyhigh:learning.ct178,2.1355,1.2386,1.7241,0.0847,159,2.589677036,N,N,45
correctFrequencylow:learning.ct178,-0.4108,0.6451,-0.6368,0.5242,159,0.324516523,N,N,45
(Intercept)256,0.5237,0.3405,1.5377,0.1241,139,NA,N,N,45
correctFrequency.ct256,-4.0969,0.7127,-5.7483,0,139,981877.2555,N,N,45
learning.ct256,0.2021,0.642,0.3148,0.7529,139,0.843246982,N,N,45
correctFrequency.ct:learning.ct256,1.2534,1.3522,0.927,0.3539,139,1.327241978,N,N,45
correctFrequencyhigh:learning.ct256,0.4941,1.1549,0.4278,0.6688,139,0.909174859,N,N,45
correctFrequencylow:learning.ct256,0.4499,0.6369,0.7064,0.4799,139,0.844920584,N,N,45
(Intercept)354,0.482,0.2649,1.8193,0.0689,119,NA,N,N,45
correctFrequency.ct354,-3.3199,0.5393,-6.1556,0,119,18153725.64,N,N,45
learning.ct354,-1.3264,0.5168,-2.5668,0.0103,119,0.207265922,N,N,45
correctFrequency.ct:learning.ct354,-1.0364,1.0626,-0.9754,0.3294,119,0.450645813,N,N,45
correctFrequencyhigh:learning.ct354,-0.4222,0.9144,-0.4617,0.6443,119,0.46926864,N,N,45
correctFrequencylow:learning.ct354,0.8228,0.903,0.9112,0.3622,119,1.208228374,N,N,45
(Intercept)454,0.4121,0.3468,1.1882,0.2348,99,NA,N,N,45
correctFrequency.ct454,-3.3562,0.5242,-6.4026,0,99,79378852.86,N,N,45
learning.ct454,0.1963,0.6779,0.2896,0.7721,99,0.848637076,N,N,45
correctFrequency.ct:learning.ct454,-1.0903,1.0055,-1.0843,0.2782,99,0.414409505,N,N,45
correctFrequencyhigh:learning.ct454,-0.8082,0.8252,-0.9794,0.3274,99,0.335233572,N,N,45
correctFrequencylow:learning.ct454,-1.8446,0.6462,-2.8545,0.0043,99,0.137336345,N,N,45
(Intercept)554,0.5508,0.4373,1.2595,0.2079,79,NA,N,N,45
correctFrequency.ct554,-4.1028,0.7203,-5.6964,0,79,734414.5621,N,N,45
learning.ct554,-0.6314,0.8254,-0.7649,0.4443,79,0.554895861,N,N,45
correctFrequency.ct:learning.ct554,-0.7785,1.3324,-0.5843,0.559,79,0.608677288,N,N,45
correctFrequencyhigh:learning.ct554,0.7415,1.024,0.7241,0.469,79,1.077288798,N,N,45
correctFrequencylow:learning.ct554,-0.3488,0.6135,-0.5686,0.5696,79,0.322990791,N,N,45
(Intercept)654,0.7629,0.3951,1.9311,0.0535,59,NA,N,N,45
correctFrequency.ct654,-3.6527,0.6239,-5.8543,0,59,2504360.572,N,N,45
learning.ct654,0.5707,0.7751,0.7363,0.4615,59,1.165965986,N,N,45
correctFrequency.ct:learning.ct654,1.1845,1.2159,0.9742,0.33,59,1.367864962,N,N,45
correctFrequencyhigh:learning.ct654,-0.2421,1.1277,-0.2147,0.83,59,0.613797381,N,N,45
correctFrequencylow:learning.ct654,-1.0206,0.9888,-1.0321,0.302,59,0.377910411,N,N,45
(Intercept)754,0.919,0.433,2.1224,0.0338,39,NA,N,N,45
correctFrequency.ct754,-4.2472,0.9609,-4.42,0,39,1618.135876,N,N,45
learning.ct754,0.0348,0.7966,0.0436,0.9652,39,0.787891353,N,N,45
correctFrequency.ct:learning.ct754,0.4271,1.8017,0.237,0.8126,39,0.956136512,N,N,45
correctFrequencyhigh:learning.ct754,-0.0183,1.0437,-0.0175,0.986,39,0.656321548,N,N,45
correctFrequencylow:learning.ct754,1.1672,0.9768,1.1949,0.2321,39,1.598810886,N,N,45
(Intercept)854,0.7567,0.3303,2.2913,0.0219,19,NA,N,N,45
correctFrequency.ct854,-3.9012,0.3899,-10.0056,0,19,2.01E+20,N,N,45
learning.ct854,-1.1076,0.6346,-1.7453,0.0809,19,0.319999652,N,N,45
correctFrequency.ct:learning.ct854,-0.0773,0.7182,-0.1076,0.9143,19,0.534731079,N,N,45
correctFrequencyhigh:learning.ct854,-0.1788,1.3708,-0.1304,0.8962,19,0.709628212,N,N,45
correctFrequencylow:learning.ct854,0.2483,1.0065,0.2467,0.8051,19,0.759304766,N,N,45
155,NA,NA,NA,NA,NA,NA,NA,NA,46
(Intercept)179,0.4391,0.3975,1.1048,0.2693,179,NA,N,N,46
correctFrequency.ct179,-3.4272,0.6964,-4.9211,0,179,24212.94915,N,N,46
learning.ct179,-0.0457,0.7587,-0.0602,0.952,179,0.73179092,N,N,46
correctFrequency.ct:learning.ct179,1.4216,1.3077,1.0871,0.277,179,1.475417548,N,N,46
correctFrequencyhigh:learning.ct179,-1.069,0.7086,-1.5085,0.1314,179,0.234288393,N,N,46
correctFrequencylow:learning.ct179,-1.1463,0.7491,-1.5303,0.1259,179,0.243989373,N,N,46
(Intercept)180,0.8489,0.3158,2.6879,0.0072,159,NA,N,N,46
correctFrequency.ct180,-4.2462,0.6813,-6.2325,0,159,13805330.05,N,N,46
learning.ct180,-0.3975,0.5808,-0.6844,0.4937,159,0.458962649,N,N,46
correctFrequency.ct:learning.ct180,0.3471,1.2716,0.273,0.7849,159,0.896400109,N,N,46
correctFrequencyhigh:learning.ct180,-0.7565,1.1476,-0.6592,0.5098,159,0.497209313,N,N,46
correctFrequencylow:learning.ct180,0.6651,0.8302,0.8011,0.423,159,1.060865023,N,N,46
(Intercept)257,1.0511,0.4206,2.499,0.0125,139,NA,N,N,46
correctFrequency.ct257,-3.185,0.5409,-5.8878,0,139,4173658.992,N,N,46
learning.ct257,-0.7067,0.8085,-0.8741,0.3821,139,0.524802693,N,N,46
correctFrequency.ct:learning.ct257,0.905,0.9823,0.9213,0.3569,139,1.288041476,N,N,46
correctFrequencyhigh:learning.ct257,-0.571,0.8721,-0.6547,0.5126,139,0.409802935,N,N,46
correctFrequencylow:learning.ct257,-0.2239,0.8502,-0.2633,0.7923,139,0.497886383,N,N,46
(Intercept)355,0.8396,0.3404,2.4663,0.0137,119,NA,N,N,46
correctFrequency.ct355,-4.8442,0.771,-6.2834,0,119,10657035.01,N,N,46
learning.ct355,0.5464,0.6371,0.8576,0.3911,119,1.228523825,N,N,46
correctFrequency.ct:learning.ct355,-2.5796,1.4675,-1.7578,0.0788,119,0.427148411,N,N,46
correctFrequencyhigh:learning.ct355,-1.1593,1.1776,-0.9844,0.3249,119,0.438682776,N,N,46
correctFrequencylow:learning.ct355,-0.2542,0.6353,-0.4002,0.689,119,0.366757837,N,N,46
(Intercept)455,1.1436,0.3959,2.8885,0.0039,99,NA,N,N,46
correctFrequency.ct455,-4.3276,0.9008,-4.8043,0,99,7680.97371,N,N,46
learning.ct455,0.3309,0.6664,0.4965,0.6196,99,0.961657359,N,N,46
correctFrequency.ct:learning.ct455,-0.1994,1.5854,-0.1258,0.8999,99,0.795029063,N,N,46
correctFrequencyhigh:learning.ct455,1.8362,1.1131,1.6496,0.099,99,2.491972002,N,N,46
correctFrequencylow:learning.ct455,-0.7434,0.8066,-0.9217,0.3567,99,0.338054599,N,N,46
(Intercept)555,0.8696,0.2725,3.1914,0.0014,79,NA,N,N,46
correctFrequency.ct555,-3.8738,0.7105,-5.4521,0,79,241682.6423,N,N,46
learning.ct555,-0.9375,0.5212,-1.7985,0.0721,79,0.266770482,N,N,46
correctFrequency.ct:learning.ct555,0.1268,1.3857,0.0915,0.9271,79,0.839079709,N,N,46
correctFrequencyhigh:learning.ct555,0.4306,1.3411,0.3211,0.7482,79,0.897015841,N,N,46
correctFrequencylow:learning.ct555,0.2312,0.5882,0.393,0.6943,79,0.605894478,N,N,46
(Intercept)655,1.6683,0.5578,2.9906,0.0028,59,NA,N,N,46
correctFrequency.ct655,-4.8816,0.8857,-5.5114,0,59,142789.6618,N,N,46
learning.ct655,0.0781,0.9589,0.0814,0.9351,59,0.85527803,N,N,46
correctFrequency.ct:learning.ct655,0.5454,1.3593,0.4013,0.6882,59,0.977973623,N,N,46
correctFrequencyhigh:learning.ct655,-1.0009,1.0372,-0.965,0.3346,59,0.403469748,N,N,46
correctFrequencylow:learning.ct655,-0.8741,0.6542,-1.3361,0.1815,59,0.23434448,N,N,46
(Intercept)755,0.3703,0.2977,1.2439,0.2135,39,NA,N,N,46
correctFrequency.ct755,-3.7766,0.5847,-6.4592,0,39,82225698.25,N,N,46
learning.ct755,-0.7134,0.5787,-1.2326,0.2177,39,0.359873492,N,N,46
correctFrequency.ct:learning.ct755,-0.4504,1.138,-0.3958,0.6922,39,0.607951029,N,N,46
correctFrequencyhigh:learning.ct755,-0.1946,1.3455,-0.1447,0.885,39,0.698480634,N,N,46
correctFrequencylow:learning.ct755,0.3508,0.976,0.3594,0.7193,39,0.807160773,N,N,46
(Intercept)855,0.4731,0.4704,1.0056,0.3146,19,NA,N,N,46
correctFrequency.ct855,-4.5127,0.9641,-4.6807,0,19,3933.542989,N,N,46
learning.ct855,0.3498,0.8909,0.3926,0.6946,19,0.978422061,N,N,46
correctFrequency.ct:learning.ct855,-0.3887,1.8415,-0.2111,0.8328,19,0.805782844,N,N,46
correctFrequencyhigh:learning.ct855,-0.4881,0.9164,-0.5327,0.5943,19,0.452745243,N,N,46
correctFrequencylow:learning.ct855,-0.9386,0.6914,-1.3576,0.1746,19,0.243923647,N,N,46
156,NA,NA,NA,NA,NA,NA,NA,NA,47
(Intercept)181,1.0539,0.4823,2.1853,0.0289,179,NA,N,N,47
correctFrequency.ct181,-5.3079,0.9857,-5.385,0,179,51836.71344,N,N,47
learning.ct181,-0.2298,0.8298,-0.2769,0.7819,179,0.686254372,N,N,47
correctFrequency.ct:learning.ct181,-0.8238,1.711,-0.4814,0.6302,179,0.710865915,N,N,47
correctFrequencyhigh:learning.ct181,0.5441,1.2008,0.4531,0.6505,179,0.937214732,N,N,47
correctFrequencylow:learning.ct181,0.1554,1.3572,0.1145,0.9088,179,0.802500634,N,N,47
(Intercept)182,1.1569,0.4712,2.4554,0.0141,159,NA,N,N,47
correctFrequency.ct182,-4.4818,0.7845,-5.7131,0,159,584818.6869,N,N,47
learning.ct182,-0.1383,0.8449,-0.1637,0.8699,159,0.729036822,N,N,47
correctFrequency.ct:learning.ct182,0.3724,1.3356,0.2788,0.7804,159,0.912241356,N,N,47
correctFrequencyhigh:learning.ct182,0.1821,1.5018,0.1213,0.9035,159,0.835939672,N,N,47
correctFrequencylow:learning.ct182,-0.6416,0.7653,-0.8384,0.4018,159,0.337081007,N,N,47
(Intercept)258,0.7912,0.4251,1.8611,0.0627,139,NA,N,N,47
correctFrequency.ct258,-4.8344,0.9458,-5.1113,0,139,20944.09474,N,N,47
learning.ct258,0.5984,0.7579,0.7895,0.4298,139,1.203752824,N,N,47
correctFrequency.ct:learning.ct258,-0.0999,1.7407,-0.0574,0.9542,139,0.841232162,N,N,47
correctFrequencyhigh:learning.ct258,-0.3245,1.4045,-0.2311,0.8173,139,0.683316824,N,N,47
correctFrequencylow:learning.ct258,0.0479,0.589,0.0813,0.9352,139,0.474812403,N,N,47
(Intercept)356,0.4492,0.3162,1.4208,0.1554,119,NA,N,N,47
correctFrequency.ct356,-3.135,0.5094,-6.1548,0,119,20265128.33,N,N,47
learning.ct356,-0.3554,0.62,-0.5731,0.5666,119,0.506109647,N,N,47
correctFrequency.ct:learning.ct356,0.9514,0.9885,0.9625,0.3358,119,1.332240825,N,N,47
correctFrequencyhigh:learning.ct356,0.6483,1.1736,0.5524,0.5806,119,0.993406737,N,N,47
correctFrequencylow:learning.ct356,0.5484,1.1343,0.4835,0.6288,119,0.937256628,N,N,47
(Intercept)456,0.2738,0.2505,1.0933,0.2743,99,NA,N,N,47
correctFrequency.ct456,-4.0808,0.5443,-7.4974,0,99,71950908294,N,N,47
learning.ct456,0.2236,0.4765,0.4694,0.6388,99,0.816177678,N,N,47
correctFrequency.ct:learning.ct456,0.7778,1.0444,0.7447,0.4565,99,1.141734881,N,N,47
correctFrequencyhigh:learning.ct456,-0.8311,0.8945,-0.9291,0.3528,99,0.366025711,N,N,47
correctFrequencylow:learning.ct456,0.1204,0.6764,0.178,0.8587,99,0.565907488,N,N,47
(Intercept)556,1.101,0.5244,2.0996,0.0358,79,NA,N,N,47
correctFrequency.ct556,-5.0701,0.9907,-5.1177,0,79,17755.88961,N,N,47
learning.ct556,-0.7367,0.911,-0.8086,0.4187,79,0.576501749,N,N,47
correctFrequency.ct:learning.ct556,-0.0356,1.6893,-0.0211,0.9832,79,0.846693074,N,N,47
correctFrequencyhigh:learning.ct556,-0.1653,0.8488,-0.1947,0.8456,79,0.517971922,N,N,47
correctFrequencylow:learning.ct556,0.6125,0.5282,1.1595,0.2462,79,1.222865832,N,N,47
(Intercept)656,1.0016,0.4117,2.4328,0.015,59,NA,N,N,47
correctFrequency.ct656,-3.1247,0.6442,-4.8509,0,59,20832.95397,N,N,47
learning.ct656,0.2302,0.8073,0.2852,0.7755,59,0.899818793,N,N,47
correctFrequency.ct:learning.ct656,0.1879,1.2507,0.1503,0.8806,59,0.834787178,N,N,47
correctFrequencyhigh:learning.ct656,-0.7189,1.4209,-0.5059,0.6129,59,0.605885812,N,N,47
correctFrequencylow:learning.ct656,-0.7545,1.0335,-0.7301,0.4654,59,0.447650919,N,N,47
(Intercept)756,0.532,0.3092,1.7205,0.0853,39,NA,N,N,47
correctFrequency.ct756,-2.9129,0.664,-4.3867,0,39,3080.303659,N,N,47
learning.ct756,-0.3503,0.6098,-0.5744,0.5657,39,0.500285292,N,N,47
correctFrequency.ct:learning.ct756,0.4841,1.3129,0.3687,0.7123,39,0.952875149,N,N,47
correctFrequencyhigh:learning.ct756,0.1363,1.1291,0.1207,0.9039,39,0.742733488,N,N,47
correctFrequencylow:learning.ct756,0.3242,0.9001,0.3602,0.7187,39,0.774759198,N,N,47
(Intercept)856,0.4461,0.2115,2.1095,0.0349,19,NA,N,N,47
correctFrequency.ct856,-3.3802,0.4475,-7.554,0,19,1.97E+11,N,N,47
learning.ct856,0.0565,0.4097,0.1379,0.8903,19,0.581402626,N,N,47
correctFrequency.ct:learning.ct856,-0.175,0.8705,-0.201,0.8407,19,0.574293426,N,N,47
correctFrequencyhigh:learning.ct856,-0.5924,0.9897,-0.5985,0.5495,19,0.462607079,N,N,47
correctFrequencylow:learning.ct856,-0.1082,0.7915,-0.1367,0.8912,19,0.510953689,N,N,47
157,NA,NA,NA,NA,NA,NA,NA,NA,48
(Intercept)183,0.5551,0.3362,1.6512,0.0987,179,NA,N,N,48
correctFrequency.ct183,-2.6891,0.5348,-5.028,0,179,59553.00643,N,N,48
learning.ct183,-1.4036,0.6656,-2.1088,0.035,179,0.295611337,N,N,48
correctFrequency.ct:learning.ct183,0.6065,1.0579,0.5733,0.5664,179,1.01733373,N,N,48
correctFrequencyhigh:learning.ct183,0.144,0.5911,0.2436,0.8075,179,0.538630831,N,N,48
correctFrequencylow:learning.ct183,-0.031,0.6043,-0.0513,0.9591,179,0.440795265,N,N,48
(Intercept)184,0.2204,0.3889,0.5667,0.5709,159,NA,N,N,48
correctFrequency.ct184,-4.1835,0.6818,-6.136,0,159,8231949.767,N,N,48
learning.ct184,0.2787,0.762,0.3657,0.7146,159,0.925229494,N,N,48
correctFrequency.ct:learning.ct184,-0.9825,1.3307,-0.7384,0.4603,159,0.571288815,N,N,48
correctFrequencyhigh:learning.ct184,-1.7068,1.0672,-1.5993,0.1097,159,0.320652986,N,N,48
correctFrequencylow:learning.ct184,-1.1003,0.5537,-1.9872,0.0469,159,0.156004718,N,N,48
(Intercept)259,0.3457,0.2252,1.5348,0.1248,139,NA,N,N,48
correctFrequency.ct259,-4.0217,0.3938,-10.2117,0,139,1.41E+21,N,N,48
learning.ct259,-0.1641,0.4308,-0.3809,0.7033,139,0.432324222,N,N,48
correctFrequency.ct:learning.ct259,2.2497,0.7456,3.0172,0.0026,139,23.03593772,N,N,48
correctFrequencyhigh:learning.ct259,0.77,0.96,0.8021,0.4225,139,1.12264509,N,N,48
correctFrequencylow:learning.ct259,-0.2125,1.0606,-0.2004,0.8412,139,0.596675443,N,N,48
(Intercept)357,0.6726,0.3788,1.7756,0.0758,119,NA,N,N,48
correctFrequency.ct357,-4.6438,0.9694,-4.7905,0,119,5716.41856,N,N,48
learning.ct357,0.5058,0.6827,0.7409,0.4587,119,1.143554419,N,N,48
correctFrequency.ct:learning.ct357,0.0771,1.8366,0.042,0.9665,119,0.886902949,N,N,48
correctFrequencyhigh:learning.ct357,-1.289,0.6058,-2.1276,0.0334,119,0.161599183,N,N,48
correctFrequencylow:learning.ct357,0.9608,0.5312,1.8086,0.0705,119,3.036572701,N,N,48
(Intercept)457,0.9262,0.3762,2.4619,0.0138,99,NA,N,N,48
correctFrequency.ct457,-3.9626,0.7917,-5.0048,0,99,24990.18854,N,N,48
learning.ct457,-0.5101,0.6857,-0.7439,0.4569,99,0.499698288,N,N,48
correctFrequency.ct:learning.ct457,0.8049,1.4575,0.5522,0.5808,99,1.073908542,N,N,48
correctFrequencyhigh:learning.ct457,0.4672,1.2517,0.3733,0.7089,99,0.904014638,N,N,48
correctFrequencylow:learning.ct457,0.5444,1.026,0.5306,0.5957,99,0.932244872,N,N,48
(Intercept)557,0.7511,0.3506,2.1427,0.0321,79,NA,N,N,48
correctFrequency.ct557,-4.6937,0.8218,-5.7114,0,79,481290.7037,N,N,48
learning.ct557,-0.9483,0.6329,-1.4983,0.1341,79,0.348459658,N,N,48
correctFrequency.ct:learning.ct557,2.592,1.532,1.692,0.0907,79,2.141947898,N,N,48
correctFrequencyhigh:learning.ct557,-0.9126,1.2668,-0.7204,0.4713,79,0.515581406,N,N,48
correctFrequencylow:learning.ct557,-0.1077,0.6312,-0.1706,0.8645,79,0.421146442,N,N,48
(Intercept)657,0.7731,0.3746,2.0641,0.039,59,NA,N,N,48
correctFrequency.ct657,-4.1655,0.7407,-5.6239,0,59,473371.587,N,N,48
learning.ct657,0.8245,0.691,1.1931,0.2328,59,1.613680928,N,N,48
correctFrequency.ct:learning.ct657,-0.3757,1.3671,-0.2749,0.7834,59,0.703924785,N,N,48
correctFrequencyhigh:learning.ct657,-2.2443,1.2529,-1.7913,0.0732,59,0.340841527,N,N,48
correctFrequencylow:learning.ct657,0.3478,0.6375,0.5455,0.5854,59,0.730579757,N,N,48
(Intercept)757,0.7589,0.3701,2.0504,0.0403,39,NA,N,N,48
correctFrequency.ct757,-3.4997,0.67,-5.2235,0,39,98700.79219,N,N,48
learning.ct757,0.3515,0.6975,0.5039,0.6143,39,0.980266243,N,N,48
correctFrequency.ct:learning.ct757,-0.4903,1.2518,-0.3916,0.6953,39,0.640668502,N,N,48
correctFrequencyhigh:learning.ct757,1.0123,1.0808,0.9366,0.349,39,1.294249431,N,N,48
correctFrequencylow:learning.ct757,0.6366,0.8495,0.7494,0.4536,39,1.024094405,N,N,48
(Intercept)857,1.4311,0.5741,2.4927,0.0127,19,NA,N,N,48
correctFrequency.ct857,-4.9544,0.6308,-7.854,0,19,4.14E+11,N,N,48
learning.ct857,0.032,1.0514,0.0305,0.9757,19,0.858285301,N,N,48
correctFrequency.ct:learning.ct857,-3.8115,0.9763,-3.9042,1.00E-04,19,0.177083873,N,N,48
correctFrequencyhigh:learning.ct857,0.5966,1.1497,0.5189,0.6038,19,0.964571041,N,N,48
correctFrequencylow:learning.ct857,0.1064,0.66,0.1612,0.872,19,0.549071578,N,N,48
