subjID learning frequency type label fribble fribbleCategory resp
1414957 FL low mismatch-type2 dep_cat1 3.2 cat3 NA
1414957 FL low mismatch-type2 bim_cat2 1.2 cat1 NA
1414957 FL low mismatch-type2 tob_cat3 2.2 cat2 NA
1431974 FL low match dep_cat1 1.2 cat1 NA
1431974 FL low match bim_cat2 2.2 cat2 NA
1431974 FL low match tob_cat3 3.2 cat3 -53
1431974 FL low mismatch-type1 dep_cat1 2.2 cat2 29.25
1431974 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1431974 FL low mismatch-type1 tob_cat3 1.2 cat1 NA
1431974 FL low mismatch-type2 dep_cat1 3.2 cat3 NA
1431974 FL low mismatch-type2 bim_cat2 1.2 cat1 -51.25
1431974 FL low mismatch-type2 tob_cat3 2.2 cat2 NA
1420580 FL low match dep_cat1 1.2 cat1 NA
1420580 FL low match bim_cat2 2.2 cat2 100
1420580 FL low match tob_cat3 3.2 cat3 NA
1420580 FL low mismatch-type1 dep_cat1 2.2 cat2 NA
1420580 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1420580 FL low mismatch-type1 tob_cat3 1.2 cat1 -100
1420580 FL low mismatch-type2 dep_cat1 3.2 cat3 -100
1420580 FL low mismatch-type2 bim_cat2 1.2 cat1 NA
1420580 FL low mismatch-type2 tob_cat3 2.2 cat2 NA
1431946 FL low match dep_cat1 1.2 cat1 -99.5
1431946 FL low match bim_cat2 2.2 cat2 NA
1431946 FL low match tob_cat3 3.2 cat3 NA
1431946 FL low mismatch-type1 dep_cat1 2.2 cat2 NA
1431946 FL low mismatch-type1 bim_cat2 3.2 cat3 -50
1431946 FL low mismatch-type1 tob_cat3 1.2 cat1 NA
1431946 FL low mismatch-type2 dep_cat1 3.2 cat3 NA
1431946 FL low mismatch-type2 bim_cat2 1.2 cat1 NA
1431946 FL low mismatch-type2 tob_cat3 2.2 cat2 -100
1432052 FL low match dep_cat1 1.2 cat1 NA
1432052 FL low match bim_cat2 2.2 cat2 NA
1432052 FL low match tob_cat3 3.2 cat3 NA
1432052 FL low mismatch-type1 dep_cat1 2.2 cat2 NA
1432052 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1432052 FL low mismatch-type1 tob_cat3 1.2 cat1 NA
1432052 FL low mismatch-type2 dep_cat1 3.2 cat3 6.5
1432052 FL low mismatch-type2 bim_cat2 1.2 cat1 -14.3333333333333
1432052 FL low mismatch-type2 tob_cat3 2.2 cat2 63.75
1459002 FL low match dep_cat1 1.2 cat1 NA
1459002 FL low match bim_cat2 2.2 cat2 -55.6666666666667
1459002 FL low match tob_cat3 3.2 cat3 NA
1459002 FL low mismatch-type1 dep_cat1 2.2 cat2 NA
1459002 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1459002 FL low mismatch-type1 tob_cat3 1.2 cat1 22
1459002 FL low mismatch-type2 dep_cat1 3.2 cat3 -60.75
1459002 FL low mismatch-type2 bim_cat2 1.2 cat1 NA
1459002 FL low mismatch-type2 tob_cat3 2.2 cat2 NA
1422465 FL low match dep_cat1 1.2 cat1 NA
1422465 FL low match bim_cat2 2.2 cat2 NA
1422465 FL low match tob_cat3 3.2 cat3 NA
1422465 FL low mismatch-type1 dep_cat1 2.2 cat2 NA
1422465 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1422465 FL low mismatch-type1 tob_cat3 1.2 cat1 NA
1422465 FL low mismatch-type2 dep_cat1 3.2 cat3 -59
1422465 FL low mismatch-type2 bim_cat2 1.2 cat1 -28
1422465 FL low mismatch-type2 tob_cat3 2.2 cat2 -75.75
1459018 FL low match dep_cat1 1.2 cat1 NA
1459018 FL low match bim_cat2 2.2 cat2 NA
1459018 FL low match tob_cat3 3.2 cat3 NA
1459018 FL low mismatch-type1 dep_cat1 2.2 cat2 73.25
1459018 FL low mismatch-type1 bim_cat2 3.2 cat3 28
1459018 FL low mismatch-type1 tob_cat3 1.2 cat1 44
1459018 FL low mismatch-type2 dep_cat1 3.2 cat3 NA
1459018 FL low mismatch-type2 bim_cat2 1.2 cat1 NA
1459018 FL low mismatch-type2 tob_cat3 2.2 cat2 NA
1459007 FL low match dep_cat1 1.2 cat1 NA
1459007 FL low match bim_cat2 2.2 cat2 NA
1459007 FL low match tob_cat3 3.2 cat3 -40
1459007 FL low mismatch-type1 dep_cat1 2.2 cat2 -21
1459007 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1459007 FL low mismatch-type1 tob_cat3 1.2 cat1 NA
1459007 FL low mismatch-type2 dep_cat1 3.2 cat3 NA
1459007 FL low mismatch-type2 bim_cat2 1.2 cat1 -58.25
1459007 FL low mismatch-type2 tob_cat3 2.2 cat2 NA
1422675 FL low match dep_cat1 1.2 cat1 43
1422675 FL low match bim_cat2 2.2 cat2 6.5
1422675 FL low match tob_cat3 3.2 cat3 14.6666666666667
1422675 FL low mismatch-type1 dep_cat1 2.2 cat2 NA
1422675 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1422675 FL low mismatch-type1 tob_cat3 1.2 cat1 NA
1422675 FL low mismatch-type2 dep_cat1 3.2 cat3 NA
1422675 FL low mismatch-type2 bim_cat2 1.2 cat1 NA
1422675 FL low mismatch-type2 tob_cat3 2.2 cat2 NA
1432075 FL low match dep_cat1 1.2 cat1 NA
1432075 FL low match bim_cat2 2.2 cat2 NA
1432075 FL low match tob_cat3 3.2 cat3 NA
1432075 FL low mismatch-type1 dep_cat1 2.2 cat2 NA
1432075 FL low mismatch-type1 bim_cat2 3.2 cat3 NA
1432075 FL low mismatch-type1 tob_cat3 1.2 cat1 NA
