resp subjID learning task fribbleID label rt trialType trialIndex acc Experiment.Version category frequency cueID bodyShape
10775 1459018 FL generalizationLP 10775_21975_33075_ dep 2852.61000005994 audio-button-response 431 1 15 1 75 ccbc jar
10775 1422681 LF generalizationLP 10775_22275_30575_ dep 1021.1799999997 audio-button-response 558 1 14 1 75 ccbc jar
10775 1422676 LF generalizationLP 10775_23375_31775_ dep 1925.45500000048 audio-button-response 410 1 14 1 75 ccbc jar
10825 1459007 FL generalizationLP 10825_21625_30825_ tob 933.799999766052 audio-button-response 453 0 15 1 25 eggg barrel
10825 1422677 FL generalizationLP 10825_21825_31025_ dep 1766.0249999899 audio-button-response 411 1 14 1 25 eggg barrel
10825 1422477 FL generalizationLP 10825_22325_30225_ tob 1649.57499998854 audio-button-response 435 0 14 1 25 eggg barrel
10825 1459109 LF generalizationLP 10825_20925_31225_ dep 3378.59499990009 audio-button-response 424 1 15 1 25 eggg barrel
10825 1459025 LF generalizationLP 10825_21925_31125_ dep 1162.21500001848 audio-button-response 556 1 15 1 25 eggg barrel
10825 1422472 FL generalizationLP 10825_20925_31225_ tob 1912.29999999632 audio-button-response 439 0 14 1 25 eggg barrel
10825 1459696 FL generalizationLP 10825_21425_30125_ dep 363.234999997076 audio-button-response 416 1 15 1 25 eggg barrel
10825 1432007 LF generalizationLP 10825_20825_31825_ tob 695.709999999963 audio-button-response 546 0 14 1 25 eggg barrel
10825 1459048 FL generalizationLP 10825_21025_32025_ bim 935 audio-button-response 421 0 15 1 25 eggg barrel
10825 1458992 FL generalizationLP 10825_21925_30625_ tob 1340.60500003397 audio-button-response 435 0 15 1 25 eggg barrel
10825 1459699 LF generalizationLP 10825_22525_31625_ dep 1326 audio-button-response 426 1 15 1 25 eggg barrel
10825 1432301 LF generalizationLP 10825_21525_31725_ dep 1548.91500000667 audio-button-response 562 1 14 1 25 eggg barrel
10825 1431978 FL generalizationLP 10825_22525_31825_ dep 1225.13500000059 audio-button-response 425 1 14 1 25 eggg barrel
10825 1458996 LF generalizationLP 10825_21025_31125_ dep 2042.01999999897 audio-button-response 558 1 15 1 25 eggg barrel
10825 1420169 LF generalizationLP 10825_21525_31325_ dep 1056.49499990977 audio-button-response 554 1 14 1 25 eggg barrel
10825 1459036 LF generalizationLP 10825_22325_31425_ bim 1779.73499998916 audio-button-response 538 0 15 1 25 eggg barrel
10825 1459706 FL generalizationLP 10825_21225_30525_ dep 1448.93499999307 audio-button-response 557 1 15 1 25 eggg barrel
10875 1422681 LF generalizationLP 10875_21575_32875_ dep 1528.53999999934 audio-button-response 554 1 14 1 75 abca jar
10875 1422689 FL generalizationLP 10875_21475_30475_ tob 1359.28000000422 audio-button-response 553 0 14 1 75 abca jar
10875 1431974 FL generalizationLP 10875_23575_33075_ bim 2162.11000003386 audio-button-response 531 0 14 1 75 abca jar
10875 1420577 LF generalizationLP 10875_21475_32875_ dep 1809.33000001824 audio-button-response 566 1 14 1 75 abca jar
10875 1459018 FL generalizationLP 10875_22875_32275_ dep 1371.32000003476 audio-button-response 437 1 15 1 75 abca jar
10875 1431949 FL generalizationLP 10875_23175_31275_ dep 1174.3650000426 audio-button-response 433 1 14 1 75 abca jar
10875 1414945 FL generalizationLP 10875_21175_33475_ dep 1361.72500019893 audio-button-response 442 1 14 1 75 abca jar
10875 1459020 LF generalizationLP 10875_21075_32675_ tob 2022.36500000028 audio-button-response 542 0 15 1 75 abca jar
10875 1458996 LF generalizationLP 10875_21875_33375_ bim 2017.96999999898 audio-button-response 562 0 15 1 75 abca jar
10875 1458997 LF generalizationLP 10875_22575_30275_ tob 1190.79000002239 audio-button-response 416 0 15 1 75 abca jar
